Name,Address,Company,Signal Level,Frequency,Channel,Security,Cipher,BSS Type,WPS Support,Time,Longitude,Latitude,X,Y,Z
BPGC-NAB,70:EA:1A:22:9F:E0,"Cisco Systems, Inc",-60,2462,11,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:92:40,"Cisco Systems, Inc",-64,2412,1,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,08:4F:A9:2D:8A:40,,-65,2462,11,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,A8:B4:56:CC:DE:00,"Cisco Systems, Inc",-66,2462,11,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:A5:A0,"Cisco Systems, Inc",-74,2462,11,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:A0:20,"Cisco Systems, Inc",-75,2437,6,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,08:4F:A9:2D:8A:A0,,-78,2412,1,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,08:4F:A9:39:68:40,,-79,2462,11,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,08:4F:A9:30:00:00,,-80,2437,6,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
CRT-MIFI,8C:21:A7:E1:4E:22,,-85,2427,4,WPA-PSK,CCMP,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:A9:A0,"Cisco Systems, Inc",-86,2437,6,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:9F:20,"Cisco Systems, Inc",-85,2462,11,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,00:A3:8E:4E:29:A0,"Cisco Systems, Inc",-88,2412,1,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:97:80,"Cisco Systems, Inc",-87,2412,1,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,08:4F:A9:39:6A:40,,-88,2462,11,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:98:20,"Cisco Systems, Inc",-89,2437,6,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,08:4F:A9:10:4B:80,,-91,2462,11,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:8F:E0,"Cisco Systems, Inc",-92,2437,6,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:96:00,"Cisco Systems, Inc",-93,2412,1,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:9B:E0,"Cisco Systems, Inc",-92,2437,6,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:9B:80,"Cisco Systems, Inc",-94,2412,1,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
DIRECT-1D-HP DeskJet 2600 series,AC:E2:D3:B6:BA:1E,Hewlett Packard,-96,2437,6,WPA2-PSK,CCMP,Infrastructure,Yes,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:A9:40,"Cisco Systems, Inc",-86,2462,11,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:9F:80,"Cisco Systems, Inc",-91,2462,11,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,00:A3:8E:60:F2:A0,"Cisco Systems, Inc",-94,2462,11,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
BPGC-NAB,08:4F:A9:2D:8A:A0,,-34,2412,1,None,None,Infrastructure,No,11/02/2020 22:40:20,,,2,0,0
BPGC-NAB,70:EA:1A:22:A9:A0,"Cisco Systems, Inc",-51,2437,6,None,None,Infrastructure,No,11/02/2020 22:40:20,,,2,0,0
BPGC-NAB,08:4F:A9:2D:8A:40,,-43,2462,11,None,None,Infrastructure,No,11/02/2020 22:40:20,,,2,0,0
BPGC-NAB,08:4F:A9:39:68:20,,-47,2437,6,None,None,Infrastructure,No,11/02/2020 22:38:20,,,2,0,0
BPGC-NAB,70:EA:1A:22:9F:20,"Cisco Systems, Inc",-58,2462,11,None,None,Infrastructure,No,11/02/2020 22:40:18,,,2,0,0
BPGC-NAB,70:EA:1A:22:98:20,"Cisco Systems, Inc",-71,2437,6,None,None,Infrastructure,No,11/02/2020 22:38:18,,,2,0,0
