Name,Address,Signal Level,Frequency,Channel,Time,X,Y,Z,MAC,Final
BPGC-NAB,08:4F:A9:39:68:20,-53,2437,6,11/02/20 11:18:39 PM,9,0,0,9138234550304,9138234550304900
BPGC-NAB,70:EA:1A:22:87:60,-53,2412,1,11/02/20 11:18:41 PM,9,0,0,124150763128672,124150763128672900
BPGC-NAB,70:EA:1A:22:9F:E0,-60,2462,11,11/02/20 11:18:39 PM,9,0,0,124150763134944,124150763134944900
BPGC-NAB,70:EA:1A:22:92:40,-64,2412,1,11/02/20 11:18:39 PM,9,0,0,124150763131456,124150763131456900
BPGC-NAB,08:4F:A9:2D:8A:40,-65,2462,11,11/02/20 11:18:41 PM,9,0,0,9138233772608,9138233772608900
BPGC-NAB,A8:B4:56:CC:DE:00,-66,2462,11,11/02/20 11:18:41 PM,9,0,0,185492503846400,185492503846400900
BPGC-NAB,70:EA:1A:22:A5:A0,-74,2462,11,11/02/20 11:18:41 PM,9,0,0,124150763136416,124150763136416900
BPGC-NAB,70:EA:1A:22:A0:20,-75,2437,6,11/02/20 11:18:39 PM,9,0,0,124150763135008,124150763135008900
BPGC-NAB,08:4F:A9:2D:8A:A0,-78,2412,1,11/02/20 11:18:41 PM,9,0,0,9138233772704,9138233772704900
BPGC-NAB,08:4F:A9:39:68:40,-79,2462,11,11/02/20 11:18:39 PM,9,0,0,9138234550336,9138234550336900
BPGC-NAB,08:4F:A9:30:00:00,-80,2437,6,11/02/20 11:18:39 PM,9,0,0,9138233933824,9138233933824900
CRT-MIFI,8C:21:A7:E1:4E:22,-85,2427,4,11/02/20 11:18:39 PM,9,0,0,154076178370082,154076178370082900
BPGC-NAB,70:EA:1A:22:A9:A0,-86,2437,6,11/02/20 11:18:39 PM,9,0,0,124150763137440,124150763137440900
BPGC-NAB,70:EA:1A:22:9F:20,-85,2462,11,11/02/20 11:18:41 PM,9,0,0,124150763134752,124150763134752900
BPGC-NAB,00:A3:8E:4E:29:A0,-88,2412,1,11/02/20 11:18:39 PM,9,0,0,702467156384,702467156384900
BPGC-NAB,70:EA:1A:22:97:80,-87,2412,1,11/02/20 11:18:41 PM,9,0,0,124150763132800,124150763132800900
